Date,Open,High,Low,Close,Adj Close,Volume
8/5/2022,302.670013,304.606659,285.543335,288.170013,288.170013,113172900
8/8/2022,295,305.200012,289.08667,290.42334,290.42334,98994000
8/9/2022,290.293335,292.396667,279.353333,283.333344,283.333344,86244600
8/10/2022,297.066681,297.51001,283.369995,294.356659,294.356659,94918800
8/11/2022,296.513336,298.236664,285.833344,286.630005,286.630005,70155000
8/12/2022,289.416656,300.160004,285.033325,300.029999,300.029999,79657200
8/15/2022,301.786682,313.133331,301.230011,309.320007,309.320007,89359200
8/16/2022,311.666656,314.666656,302.883331,306.563324,306.563324,88136400
8/17/2022,303.396667,309.656677,300.033325,303.996674,303.996674,68766000
8/18/2022,306,306.5,301.853333,302.869995,302.869995,47500500
8/19/2022,299,300.359985,292.5,296.666656,296.666656,61395300
8/22/2022,291.91333,292.399994,286.296661,289.91333,289.91333,55843200
8/23/2022,291.453339,298.82666,287.92334,296.453339,296.453339,63984900
8/24/2022,297.563324,303.646667,296.5,297.09668,297.09668,57259800
8/25/2022,302.359985,302.959991,291.600006,296.070007,296.070007,53230000
8/26/2022,297.429993,302,287.470001,288.089996,288.089996,57163900
8/29/2022,282.829987,287.73999,280.700012,284.820007,284.820007,41864700
8/30/2022,287.869995,288.480011,272.649994,277.700012,277.700012,50541800
8/31/2022,280.619995,281.25,271.809998,275.609985,275.609985,52107300
9/1/2022,272.579987,277.579987,266.149994,277.160004,277.160004,54287000
9/2/2022,281.070007,282.350006,269.079987,270.209991,270.209991,50752200
9/6/2022,272.679993,275.98999,265.73999,274.420013,274.420013,55860000
9/7/2022,273.100006,283.839996,272.269989,283.700012,283.700012,50028900
9/8/2022,281.299988,289.5,279.76001,289.26001,289.26001,53713100
9/9/2022,291.670013,299.850006,291.25,299.679993,299.679993,54338100
9/12/2022,300.720001,305.48999,300.399994,304.420013,304.420013,48674600
9/13/2022,292.899994,297.399994,290.399994,292.130005,292.130005,68229600
9/14/2022,292.23999,306,291.640015,302.609985,302.609985,72628700
9/15/2022,301.829987,309.119995,300.720001,303.75,303.75,64795500
9/16/2022,299.609985,303.709991,295.600006,303.350006,303.350006,86949500
9/19/2022,300.089996,309.839996,297.799988,309.070007,309.070007,60231200
9/20/2022,306.910004,313.329987,305.579987,308.730011,308.730011,61642800
9/21/2022,308.290009,313.799988,300.630005,300.799988,300.799988,62555700
9/22/2022,299.859985,301.290009,285.820007,288.589996,288.589996,70545400
9/23/2022,283.089996,284.5,272.820007,275.329987,275.329987,63615400
9/26/2022,271.829987,284.089996,270.309998,276.01001,276.01001,58076900
9/27/2022,283.839996,288.670013,277.51001,282.940002,282.940002,61925200
9/28/2022,283.079987,289,277.570007,287.809998,287.809998,54664800
9/29/2022,282.76001,283.649994,265.779999,268.209991,268.209991,77393100
